Tweet,GT Target,GT Stance,Mapped Target,Generated Targets,Best Gen Target
"Because the cost of living is always rising , the value of a new minimum wage begins to fall from the moment it is set .",minimum wage,AGAINST,minimum wage,"['minimum wage', 'value of living', 'economics', 'economy', 'economically-motivated']",minimum wage
"A 2015 Purdue University study found that raising the wage of fast food restaurant employees to $ 15 or $ 22 per hour would result in a price increase of 4.3 % and 25 % respectively , or a reduction in product size between 12 % and 70 % : "" a hamburger would be much smaller , "" the researchers stated .",minimum wage,AGAINST,minimum wage,"['fast food', 'restaurant', 'wage', 'hierarchy', 'food', 'foodservice', 'willingness', 'mechanism design', 'measurement', 'means', 'meining', 'meating']",wage
"Our new resource shows the minimum wage levels of all 50 states and DC , plus the 37 cities and counties that have set their own rates .",minimum wage,NONE,minimum wage,"['minimum wage', 'state', 'dc']",minimum wage
"Use our discussion guide to spark a thought-provoking conversation â in your classroom or your living room â about American politics , past and present .",minimum wage,NONE,nuclear energy,"['discussion', 'politics', 'history', 'political science', 'political communication', 'political discourse', 'political economy', 'political theory', 'political analysis', 'political rhetoric', 'political data', 'political analytics', 'political journalism', 'political media', 'political writing', 'political economics', 'political finance']",political science
Minimum wage has already been raised 23 times .,minimum wage,NONE,minimum wage,"['minimum wage', 'minimum hourly', 'minimum-cost']",minimum wage
"The researchers looked at the first year of implementation , with a particular focus on prices .",minimum wage,NONE,nuclear energy,"['pricing', 'economy', 'economics', 'mechanism design']",mechanism design
Raising the minimum wage to $ 10 would impact over 15 million workers .,minimum wage,NONE,minimum wage,"['minimum wage', 'wage', 'wage increase', 'wage inequality', 'wage creation', 'wage and hourly']",minimum wage
54 % said they would decrease hiring levels .,minimum wage,AGAINST,nuclear energy,"['hiring levels', 'hiring', 'cots', 'hcid', 'hierarchical', 'cps', 'hpc', 'hfs', 'hci', 'hris', 'hps', 'hsd', 'hss']",hierarchical
"It is a myth that small business owners ca n't afford to pay their workers more , and therefore do n't support an increase in the minimum wage .",minimum wage,FAVOR,minimum wage,"['small business', 'minimum wage', 'workforce', 'work force', 'job market', 'job satisfaction', 'job demand', 'job scheduling', 'job cost', 'job supply', 'job efficiency', 'job training', 'job performance', 'job creation', 'job economics']",minimum wage
"Season 2 , which features storylines from Trunk Music , The Drop and The Last Coyote premieres March 11th on Amazon Prime Video .",minimum wage,NONE,nuclear energy,"['season', 'storyline', 'tramunk music', 'the Drop', 'the Last Coyote', 'amazon video', 'storytelling', 'story-line', 'story line', 'story model', 'storyboard', 'story tree', 'story structure', 'story building', 'story progression']",story structure
We do nât have a good track record for predicting the future when it comes to things like this .,minimum wage,NONE,cloning,"['prediction', 'future', 'prediction models', 'experimentation', 'experiments', 'experience report', 'experimental study', 'experiential study', 'software engineering', 'experts', 'experiencing', 'experievement']",experimentation
We all have more of a say in our State and local government than in Washington DC anyway .,minimum wage,NONE,nuclear energy,['local government'],local government
"Exceptions allowed include a minimum wage of $ 4.25 per hour for young workers under the age of 20 , but only during their first 90 consecutive calendar days of employment with an employer , and as long as their work does not displace other workers .",minimum wage,NONE,minimum wage,"['minimum wage', 'young workers', 'job market', 'job scheduling', 'job discrimination', 'job classification', 'job availability', 'job performance', 'job cost', 'job satisfaction', 'job management', 'job security', 'job-based']",minimum wage
Researchers at the White House Council of Economic Advisors ( CEA ) found that an increase to $ 10.10 an hour would raise wages for 28 million Americans â about nine million of those due to the ripple effect .,minimum wage,FAVOR,minimum wage,"['economic development', 'economic inequality']",economic inequality
Raising the minimum wage would encourage companies to outsource jobs to countries where costs would be lower .,minimum wage,AGAINST,minimum wage,"['minimum wage', 'outsource jobs', 'outsourcing', 'outsourced computing', 'job creation', 'job market', 'job demand', 'job outsourcing', 'job availability', 'job cost', 'job production', 'job efficiency', 'job-based outsourcing', 'economic model', 'job scheduling']",minimum wage
Increasing the minimum wage would increase worker productivity and reduce employee turnover .,minimum wage,FAVOR,minimum wage,"['minimum wage', 'productivity', 'employee turnover', 'worker productivity', 'worker turnover', 'wage inequality', 'wage equality']",minimum wage
I agree with you that [ formal ] education is not always the answer .,minimum wage,NONE,school closures,"['formal education', 'education', 'education research']",education
"Source : Fox News Insider , "" Huckabee : Do n't Settle for Minimum Wage , Work to Command a Maximum Wage , "" insider.foxnews.com , Nov. 2 , 2014 [ Editor 's Note : On Apr. 10 , 2006 , while Governor of Arkansas , Huckabee approved a $ 1.10 increase in the Arkansas Minimum Wage , a 21 % increase that brought the minimum wage to $ 6.25 ( the federal minimum wage was then $ 5.15 ) . ]",minimum wage,NONE,nuclear energy,"['mechanism design', 'mechanical turk', 'measurement', 'means of the economy', 'measuring the economy']",mechanism design
"You know , I can remember , as a youngster â you know , my first job working in a laboratory as a lab assistant , and multiple other jobs .",minimum wage,NONE,fauci,['lab assistant'],lab assistant
All levels of government provide widespread corporate welfare so why not provide some help to low wage workers ?,minimum wage,FAVOR,minimum wage,['welfare'],welfare
Follow him on Twitter at @ddayen .,minimum wage,NONE,Feminist Movement,"['twitter', 'ddayen', 'dynamic programming', 'dynamical systems', 'dft', 'dwt', 'dht', 'dtmf', 'dct', 'dtf', 'dpmf', 'dsf', 'svd', 'dmmf']",dsf
( This entry is the second part of a 2-part post on the recent minimum wage increases in New York and California .,minimum wage,NONE,minimum wage,"['minimum wage', 'state', 'local']",minimum wage
Since firms are allowed to pay poverty-level wages to 3.6 million people -- 5 percent of the workforce -- these workers must rely on Federal income support programs .,minimum wage,FAVOR,minimum wage,"['wage', 'federal', 'income support', 'poverty', 'workforce', 'job', 'job market', 'job insecurity', 'job training', 'job-based', 'job satisfaction', 'job creation', 'job scheduling', 'job placement', 'job outsourcing']",wage
Some argue that businesses will essentially pass costs of the wage increase on to consumers .,minimum wage,AGAINST,minimum wage,"['wage increase', 'job market', 'job creation', 'job cost', 'job satisfaction', 'job demand', 'job efficiency', 'job scheduling', 'job-based']",wage increase
Corporations lobby like crazy all the time in Washington DC and before every state and local government for direct and indirect public assistance .,minimum wage,NONE,school uniforms,"['public assistance', 'corporate lobbying', 'public policy']",public policy
"John W. O'Neill , PhD , Director of the School of Hospitality Management at Pennsylvania State University , stated that an increase in the minimum wage to $ 10.10 or higher would "" decrease opportunities for upward mobility in the hospitality industry [ where ] entry-level , hourly roles are traditional ' routes to the top ' , "" and where workers learn the skills needed to gain a promotion .",minimum wage,AGAINST,nuclear energy,"['hospitality management', 'hospitals', 'hierarchical hospitals']",hierarchical hospitals
"Not true : Since 1938 , the federal minimum wage has been increased 22 times .",minimum wage,NONE,minimum wage,"['minimum wage', 'mechanism design', 'measurement economics']",minimum wage
"James Dorn , PhD , Senior Fellow at the Cato Institute , stated that a 10 % increase in the minimum wage "" leads to a 1 to 3 percent decrease in employment of low-skilled workers "" in the short term , and "" to a larger decrease in the long run . """,minimum wage,AGAINST,minimum wage,"['minimum wage', 'low-skilled workers', 'job market', 'job creation', 'job training', 'job demand', 'job-based']",minimum wage
"It could certainly be the case that the initial raise to $ 11 did nât require price increases , and future steps up will .",minimum wage,AGAINST,gun control,"['price increase', 'price control', 'price forecasting', 'price prediction', 'price-sensitive design']",price control
Myth : Restaurant servers do n't need to be paid the minimum wage since they receive tips .,minimum wage,FAVOR,minimum wage,"['restaurant servers', 'minimum wage', 'tip tips', 'minimum hourly pay', 'minimum menu']",minimum wage
Unbelievably rich executives at major corporations have been destroying the country and stepping on everyone else for so long they âre lucky we do nât just cook and eat them at this point .,minimum wage,NONE,minimum wage,"['rich executives', 'economics', 'economy', 'economically-motivated', 'economical models', 'economies of scale', 'economic-economic models']",economical models
"Saying we have a "" free market "" that will take care of workers is a myth .",minimum wage,FAVOR,minimum wage,"['free market', 'workplace', 'economics', 'economy', 'social choice theory', 'economically-motivated']",economically-motivated
One Los Angeles-based blogger estimated a raise in rental prices by $ 173/month if the minimum wage was increased to $ 15/hour .,minimum wage,AGAINST,minimum wage,"['renting prices', 'living costs', 'labor market economics']",labor market economics
I can only assume this argument is born from either blind stubbornness or toxic mold inhalation .,minimum wage,NONE,abortion,"['mold inhalation', 'moldable mold', 'mild mold', 'medical decision making', 'medical decisions']",mold inhalation
But no single solution will work on its own .,minimum wage,NONE,gun control,['problem solving'],problem solving
"The only economic interests that matter to them are , unsurprisingly , their own .",minimum wage,NONE,nuclear energy,['economic interests'],economic interests
"A 2005 study published by Cornell University found that "" a longterm 10 % increase in the earnings of low-skilled workers could decrease high school enrollment rates by as much as 5-7 % . """,minimum wage,AGAINST,school uniforms,['high school'],high school
"Not true : An employer can pay a tipped employee as little as $ 2.13 per hour in direct wages , but only if that amount plus tips equal at least the federal minimum wage and the worker retains all tips and customarily and regularly receives more than $ 30 a month in tips .",minimum wage,NONE,minimum wage,"['tip', 'worker', 'wage']",wage
"The higher costs of production are , the higher prices are .",minimum wage,AGAINST,nuclear energy,"['costs', 'production']",production
"Scott , I do nât blame you for your answers because you are repeating the dominant narrative â¦ the one that is taught in schools and universities .",minimum wage,NONE,school closures,"['narrative', 'fiction', 'education', 'literature', 'literacy', 'literary', 'literate', 'literery', 'literography', 'literatorship']",education
"One of the biggest political issues right now nationwide , and one that will likely be an important issue in next year âs presidential election is the minimum wage .",minimum wage,NONE,minimum wage,"['minimum wage', 'minimum income', 'political economy', 'economic inequality']",minimum wage
"The Economic Policy Institute stated that a minimum wage increase from the current rate of $ 7.25 an hour to $ 10.10 would inject $ 22.1 billion net into the economy and create about 85,000 new jobs over a three-year phase-in period .",minimum wage,FAVOR,minimum wage,"['minimum wage', 'job creation', 'job market', 'job training', 'job demand', 'job-based economy']",minimum wage
"Every time it was raised it was opposed by some few who said "" it is going to lose jobs and wreck the economy "" which is factually untrue as study after study has proven .",minimum wage,FAVOR,cloning,"['job', 'economy', 'job market', 'job creation', 'job demand', 'job-creation', 'job growth', 'job training', 'job cost', 'job satisfaction', 'job efficiency', 'job loss', 'job insecurity', 'job gains']",job-creation
"In 2014 , Steve H. Hanke , PhD , Professor of Applied Economics at Johns Hopkins University , surveyed the 21 European Union ( EU ) countries that have a minimum wage and found they had an average unemployment rate of 11.8 % , about a third higher than the 7.9 % average unemployment rate in the seven EU countries that have no minimum wage .",minimum wage,AGAINST,minimum wage,"['minimum wage', 'unemployment', 'european economy', 'europesan economy']",minimum wage
"With a few exceptions ( Bill Gates , for example , who has genuinely used his money to make the world a better place and convinced other billionaires to do the same â good job , Bill ! )",minimum wage,NONE,fauci,['bill Gates'],bill Gates
"On top of that , the amount of the wage increase is unprecedented .",minimum wage,NONE,minimum wage,"['wage increase', 'mechanism design', 'measurement']",wage increase
"The Economist stated in 2015 that "" America as a whole is an outlier among advanced economies ... one would expect America , where GDP per person is $ 53,000 , to pay a minimum wage around $ 12 an hour .",minimum wage,FAVOR,minimum wage,['economic inequality'],economic inequality
"Of course not , that âs why they are nât doing it in droves .",minimum wage,NONE,school uniforms,"['computational social science', 'social computing', 'social engineering']",computational social science
"In a 2015 poll , "" 75 % of Americans , including 53 % of Republicans , support raising the minimum wage to $ 12.50 "" by 2020 .",minimum wage,NONE,minimum wage,"['minimum wage', 'minimum income', 'job market', 'job creation', 'job training', 'job satisfaction', 'job-based']",minimum wage
2 - People who get the same amount of government aid as they would for working as justification to increase wages does nât solve the problem .,minimum wage,AGAINST,minimum wage,"['government aid', 'welfare', 'willingness to pay', 'wider access']",welfare
It 's particularly a problem in the black community .,minimum wage,NONE,school uniforms,"['black community', 'race', 'inclusion', 'inclusive design', 'informal design', 'social computing', 'social issues']",social computing
24 % of minimum wage workers are teenagers .,minimum wage,NONE,minimum wage,"['minimum wage', 'teenagers', 'job market', 'gender', 'wage gap', 'wage inequality', 'wage equality', 'wage redistribution', 'wage and hourly wage gap', 'gender gap', 'job training', 'wage disparity', 'wage discrimination', 'wage fairness', 'wage']",minimum wage
"In fact , a June 2014 survey found that more than 3 out of 5 small business owners support increasing the minimum wag e to $ 10.10 .",minimum wage,FAVOR,minimum wage,['small business'],small business
The problem is that you ca n't do that by mandating it in the minimum wage laws .,minimum wage,NONE,minimum wage,"['minimum wage', 'mechanism design', 'me-commerce', 'meme-mechanical turk', 'measuring the cost of living']",minimum wage
This is one of those poll-driven deals .,minimum wage,NONE,Bernie Sanders,['polls'],polls
"According to Aaron Pacitti , PhD , Associate Professor of Economics at Siena College , raising the minimum wage would help reduce the federal budget deficit "" by lowering spending on public assistance programs and increasing tax revenue .",minimum wage,FAVOR,minimum wage,"['minimum wage', 'budget', 'budget deficit', 'public assistance', 'tax revenue', 'mechanism design']",minimum wage
And workers have a bit more cash in their paychecks besides .,minimum wage,FAVOR,minimum wage,"['paychecks', 'workplace', 'workforce', 'workload', 'job satisfaction', 'job scheduling', 'job market', 'job performance', 'job-based']",workforce
It simply is not taught .,minimum wage,NONE,school closures,"['education', 'teaching', 'learning', 'teachers']",teachers
That 's what we need to be thinking about .,minimum wage,NONE,cloning,"['design', 'experimentation', 'human factors']",human factors
"Yet while there âs growing consensus that lower-income workers need more support , not everyone agrees that a wage increase to $ 15/hour is the best solution .",minimum wage,AGAINST,minimum wage,['wage increase'],wage increase
"The home mortgage deduction is $ 70 billion a year , with 77 % going to people with incomes of over $ 100,000 per year .",minimum wage,NONE,stay at home orders,"['home mortgage deduction', 'home mortgage', 'mortgage deduction', 'mechanism design']",home mortgage
"George Reisman , PhD , Professor Emeritus of Economics at Pepperdine University , stated that if the minimum wage is increased to $ 10.10 , "" and the jobs that presently pay $ 7.25 had to pay $ 10.10 , then workers who previously would not have considered those jobs because of their ability to earn $ 8 , $ 9 , or $ 10 per hour will now consider them ... The effect is to expose the workers whose skills do not exceed a level corresponding to $ 7.25 per hour to the competition of better educated , more-skilled workers presently able to earn wage rates ranging from just above $ 7.25 to just below $ 10.10 . """,minimum wage,FAVOR,minimum wage,"['minimum wage', 'job market', 'job demand', 'job supply', 'job satisfaction', 'job cost', 'job creation', 'job economics']",minimum wage
"It was initially set at $ 0.25 per hour and has been increased by Congress 22 times , most recently in 2009 when it went from $ 6.55 to $ 7.25 an hour .",minimum wage,NONE,nuclear energy,"['job', 'hour', 'measurement', 'mechanism design']",mechanism design
"A survey by the Small Business Network found that 82 % of small businesses agreed that "" the government should not be setting wage rates . """,minimum wage,NONE,minimum wage,"['small business', 'wage', 'mechanism design']",wage
"According to a study by the Center for Economic and Policy Research ( CEPR ) , the federal minimum wage would have been $ 21.72 per hour in 2012 , instead of $ 7.25 , if the minimum wage had kept pace with increases in productivity since 1968 .",minimum wage,FAVOR,minimum wage,"['minimum wage', 'economy', 'economic development', 'economic inequality', 'economic productivity']",minimum wage
My issue with this is a lot of Americans just look for someone that sounds good and makes them feel good then they vote on whatever that persons opinion is on an issue .,minimum wage,NONE,minimum wage,"['vote', 'political economy', 'social choice theory', 'social issues']",political economy
All we know is the rolling effects as implementation continues .,minimum wage,NONE,school uniforms,"['software architecture', 'software testing']",software testing
"The UW researchers visited grocery stores , gas stations , restaurants , and retail outlets in the year since initial implementation , and also scraped the Web to check local prices on goods , services , and rent .",minimum wage,NONE,nuclear energy,"['grocery stores', 'gas stations', 'restaurants', 'retail', 'price', 'rent', 'grocetteer', 'gift shop', 'grapecer', 'grapes', 'gwap', 'gprs', 'gps', 'g']",gas stations
Not true : Academic research has shown that higher wages sharply reduce employee turnover which can reduce employment and training costs .,minimum wage,FAVOR,minimum wage,"['employee turnover', 'employee compensation', 'employer turnover']",employer turnover
You âre an immature person .,minimum wage,NONE,abortion,['immature person'],immature person
"Otherwise , they âll just be lazy ! â",minimum wage,NONE,Feminist Movement,['lazy'],lazy
"The minimum wage in 1968 was $ 1.60 , which is equivalent to $ 11.16 in Jan. 2016 dollars and which is 53.9 % higher than today 's $ 7.25 federal minimum wage .",minimum wage,FAVOR,minimum wage,"['minimum wage', 'computing education', 'computers and society', 'computational social science', 'comparative research', 'comprehensive research', 'theory']",minimum wage
A minimum wage job is suppose to be an entry level stepping stone â not a career goal .,minimum wage,AGAINST,minimum wage,"['minimum wage', 'job', 'job market', 'job description', 'job qualification']",minimum wage
"We can only go by what we have so far , and what we have rebuts the common argument that consumers will have to pay dearly for increases in the minimum wage .",minimum wage,FAVOR,minimum wage,"['minimum wage', 'consumer economics', 'mechanism design']",minimum wage
Protestant churches were first on the record for living wages since 1908 .,minimum wage,NONE,minimum wage,"['protestant churches', 'living wages', 'protestants', 'welfare', 'willingness to pay']",living wages
"According to James Sherk , MA , Senior Policy Analyst at the Heritage Foundation , a single mother working full time and earning the federal minimum wage of $ 7.25 an hour would be over $ 260 a month worse off if the minimum wage were raised to $ 10.10 : "" While her market income rises by $ 494 , she loses $ 71 in EITC [ earned income tax credit ] refunds , pays $ 37 more in payroll taxes and $ 45 more in state income taxes .",minimum wage,AGAINST,abortion,['single mother'],single mother
"These are the people you âre holding up as paragons , America : some of the worst our culture and our civilization has to offer .",minimum wage,NONE,minimum wage,"['american', 'global', 'economic']",economic
"Layoffs : If an employer has a tight compensation budget and the minimum wage is raised , it means they can no longer compensate the same number of employees at a higher rate and must make layoffs to remain within budget .",minimum wage,AGAINST,minimum wage,"['layoffs', 'employee compensation', 'job market', 'job scheduling']",employee compensation
Raising the minimum wage and indexing it to inflation would ensure that low-wage workers could adopt a standard of living commensurate with the current economy .,minimum wage,FAVOR,minimum wage,"['minimum wage', 'inflation', 'standard of living', 'low-wage workers', 'living standards', 'wage indexing']",minimum wage
"Not true : While there are some exceptions , employers are generally required to pay at least the federal minimum wage .",minimum wage,NONE,minimum wage,"['minimum wage', 'workforce', 'mechanism design']",minimum wage
The Mises institution has a great website and online classes â¦ also a great resource .,minimum wage,NONE,school closures,"['online education', 'distance learning', 'distance education']",distance education
Myth : Raising the federal tipped minimum wage ( $ 2.13 per hour since 1991 ) would hurt restaurants .,minimum wage,FAVOR,minimum wage,"['tipped minimum wage', 'minimum wage', 'food insecurity', 'food safety', 'food quality']",minimum wage
It makes my job so much easier !,minimum wage,NONE,stay at home orders,"['job', 'work']",work
Raising the minimum wage would lead to a healthier population and prevent premature deaths .,minimum wage,FAVOR,minimum wage,"['minimum wage', 'premature deaths', 'health', 'premium life expectancy', 'social good']",minimum wage
"If companies can not afford to pay a higher minimum wage for low-skilled service employees , they will use automation to avoid hiring people in those positions altogether .",minimum wage,AGAINST,minimum wage,"['minimum wage', 'automation', 'job market', 'job creation', 'job demand', 'job scheduling', 'job outsourcing', 'job training', 'job placement', 'job cost', 'job satisfaction', 'job availability', 'job search', 'job-based']",minimum wage
"Edward Ehlinger , MD , State Health Commissioner for Minnesota , stated that raising the Minnesotan minimum wage from $ 6.15 an hour to $ 9.50 by mid-2016 was probably "" the biggest public health achievement ... in the four years I 've been health commissioner ... If you look at the conditions that impact health , income is right at the top of the list ... Anything we can do to help enhance economic stability will have a huge public health benefit .",minimum wage,FAVOR,minimum wage,"['public health', 'minimum wage']",minimum wage
"Economists from the Federal Reserve Bank of Chicago predicted that a $ 1.75 rise in the federal minimum wage would increase aggregate household spending by $ 48 billion the following year , thus boosting GDP and leading to job growth .",minimum wage,FAVOR,minimum wage,"['minimum wage', 'job growth', 'job market', 'job creation', 'job demand', 'job training', 'job-based economy', 'job cost', 'job satisfaction', 'job efficiency', 'job scheduling', 'job force', 'job performance', 'job insecurity', 'job']",minimum wage
But the data supporting this theory is inconclusive .,minimum wage,NONE,nuclear energy,"['data mining', 'data analysis']",data mining
"But , my guess is , reading is not something you do â¦ ever .",minimum wage,NONE,cloning,"['reading', 'fiction', 'reading comprehension', 'reading theory']",fiction
"You know , that â and that 's because of those high wages .",minimum wage,NONE,minimum wage,"['wage', 'work', 'education']",wage
"A 2014 study by Alex Smith , PhD , Assistant Professor of Economics at the United States Military Academy at West Point , found that "" an increase in the minimum wage from $ 7.25 to $ 10.10 ( 39 % ) ... would lead to a 2-4 percentage point decrease in the likelihood that a low-SES [ socio-economic status ] teen will drop out . """,minimum wage,FAVOR,minimum wage,"['minimum wage', 'low-income', 'college']",minimum wage
Raising the minimum wage would increase the price of consumer goods .,minimum wage,AGAINST,minimum wage,"['minimum wage', 'consumer goods', 'mechanism design']",minimum wage
What if I could help you get to a maximum wage ?,minimum wage,NONE,minimum wage,"['maximum wage', 'minimum wage', 'job market', 'job satisfaction', 'job training', 'job scheduling', 'job-based']",minimum wage
"A third claim that in-Seattle employment was falling was based on small sample-size , error-prone data .",minimum wage,NONE,minimum wage,"['employment', 'data mining', 'data quality', 'data error']",employment
"After 20 years with this character , Connelly wanted to be sure the show reflected the authenticity that longtime fans have appreciated over the years .",minimum wage,NONE,death penalty,"['authenticity', 'character design', 'storytelling', 'story development', 'story design', 'character development']",authenticity
That 's why President Obama is urging Congress to increase the federal minimum wage and give low-wage workers a much-needed boost .,minimum wage,NONE,minimum wage,"['minimum wage', 'low-wage', 'job']",minimum wage
"That âs where we really hit the rub with this argument : those making it , at least in a professional capacity , do nât give one tin shit about actual small businesses .",minimum wage,NONE,minimum wage,['small business'],small business
"The minimum wage was set at 25 cents , which is equivalent to $ 4.11 in Jan. 2016 dollars .",minimum wage,NONE,minimum wage,"['minimum wage', 'computing education', 'computers and society', 'computational social science']",minimum wage
Many more are remorseless sociopaths who would light poor people on fire just so they could laugh as they ran around screaming .,minimum wage,NONE,abortion,"['sociopath', 'fire', 'poor people', 'sabotage', 'firewall', 'crisis', 'crowdsourcing', 'crawling', 'cscw', 'cascading', 'crocery', 'crisp', 'cwc']",sociopath
LOL jk I know you totally talk shit about fast food workers as a means of compensating for your own insecurities â all of you fucknuts do .,minimum wage,NONE,minimum wage,"['fast food', 'insecurities', 'insecure computing', 'job satisfaction', 'job compensation', 'job market', 'job insecurity', 'job-based']",job compensation
"Because it makes no sense to say that the minimum wage in New York City is the same as the minimum wage in Mason City , Iowa .",minimum wage,NONE,minimum wage,"['minimum wage', 'mechanism design', 'measurement']",minimum wage
"The team found no measurable price hike at all at grocery stores , gas stations or retail outlets .",minimum wage,FAVOR,nuclear energy,"['price increase', 'grocery stores', 'gas stations', 'retail', 'gift shop', 'price of anarchy', 'price-sensitive shopping']",gas stations
" I 'd rather go after skills and improve skills .	",minimum wage,NONE,gun control,"['skill', 'training']",training
Myth : Raising the federal minimum wage wo n't benefit workers in states where the hourly minimum rate is already higher than the federal minimum .,minimum wage,FAVOR,minimum wage,"['minimum wage', 'welfare', 'workforce', 'work force', 'job market', 'job creation', 'job training', 'job insecurity', 'job satisfaction', 'job-based economy', 'job demand', 'job scheduling', 'job cost', 'job efficiency', 'job']",minimum wage
"Or instead of hiring fewer employees , the company may start outsourcing jobs to employees in countries that are willing to work for much less than $ 10.10 per hour , resulting in fewer jobs for Americans .",minimum wage,AGAINST,minimum wage,"['outsourcing', 'job market', 'job creation', 'job demand', 'job cost', 'job satisfaction', 'job scheduling', 'job outsourcing', 'job-cost']",job cost
Should we have sort of a gradual one in a while . ,minimum wage,NONE,marijuana legalization,"['gradualization', 'bpmn', 'bcmn', 'cpmn']",gradualization
What kind of terrifying sociopathic insanity is this argument ?,minimum wage,NONE,abortion,"['argumentation', 'bipolarity']",argumentation
Actor Titus Welliver was handpicked by author and executive producer Michael Connelly to take Bosch from the pages to the screen .,minimum wage,NONE,Feminist Movement,"['actor', 'comics', 'storytelling', 'story']",storytelling
Myth : Younger workers do n't have to be paid the minimum wage .,minimum wage,NONE,minimum wage,"['work', 'minimum wage', 'ageing', 'wage', 'education', 'work ethic', 'workplace', 'work-life balance', 'work demands', 'work force', 'work economics', 'work and education', 'work conditions', 'work requirements', 'workload characterization']",minimum wage
"A 2014 survey found that 53 % of small business owners believed that  with a higher minimum wage , businesses would benefit from lower employee turnover and increased productivity and customer satisfaction . """,minimum wage,FAVOR,minimum wage,"['small business', 'minimum wage', 'employee turnover', 'productivity', 'customer satisfaction', 'employer satisfaction']",minimum wage
"Because of Graham 's Sep. 16 , 2015 statement and his Apr. 30 , 2014 vote , we categorized him as CON to increasing the minimum wage from its current level . ]",minimum wage,NONE,minimum wage,"['con', 'minimum wage', 'computing for equality', 'computers and society', 'social issues', 'social computing', 'social and legal issues']",minimum wage
"This year , the issue has taken center stage in what is actually a broader conversation about the root causes of income inequality in the United States .",minimum wage,NONE,minimum wage,['income inequality'],income inequality
"There are so many entrepreneurial folks who became successful without racking up $ 100,000 in college debt .",minimum wage,NONE,cloning,"['entrepreneurship', 'software engineering', 'software economics']",software engineering
Myth : Increasing the minimum wage is bad for businesses .,minimum wage,AGAINST,minimum wage,"['minimum wage', 'minimum-wage', 'economics']",minimum wage
It may lead to inflation or an increase in cost of living that cancels out its positive effects .,minimum wage,AGAINST,minimum wage,"['inflation', 'cost of living', 'living costs', 'computational social science']",inflation
"In 1940 , US Catholic Bishops stated :  The first claims of labor , WHICH TAKES PRIORITY OVER ANY CLAIMS OF THE OWNERS TO PROFITS , respects the right to a living wage . """,minimum wage,FAVOR,minimum wage,"['living wage', 'labor', 'rights', 'living-wage', 'civic-spirituality', 'cscw', 'c.', 'c..', 'c #', 'c']",living wage
"Wind/Solar : Expensive as hell and do nât generate alot of power , but definitely have their niche uses .",nuclear energy,NONE,nuclear energy,"['wind', 'solar', 'power']",power
CANE was opposed to the mining and export of Australian uranium for other than biomedical purposes .,nuclear energy,NONE,nuclear energy,"['mining', 'export', 'uranium']",uranium
"Stewart Brand at a 2010 debate , "" Does the world need nuclear energy ? """,nuclear energy,NONE,nuclear energy,"['nuclear energy', 'nuclear power', 'nuclear energy policy']",nuclear energy
We hate spam too !,nuclear energy,NONE,marijuana legalization,"['spam', 'web spam']",web spam
"Despite what the nuclear industry tells us , building enough nuclear power stations to make a meaningful reduction in greenhouse gas emissions would cost trillions of dollars , create tens of thousands of tons of lethal high-level radioactive waste , contribute to further proliferation of nuclear weapons materials , and result in a Chernobyl-scale accident once every decade .",nuclear energy,AGAINST,nuclear energy,"['nuclear power station', 'greenhouse gas', 'nuclear waste', 'nuclear power industry', 'nuclear reactors', 'nuclear energy', 'nuclear fuel', 'nuclear pollution', 'nuclear safety', 'nuclear plant', 'nuclear system', 'nuclear design', 'nuclear technology', 'nuclear industry']",nuclear energy
"Nature provides a free lunch , but only if we control our appetites .",nuclear energy,NONE,abortion,"['nature', 'free lunch', 'attention', 'bountiful', 'bounded rationality', 'boredom', 'bodily', 'battlesome', 'babbles', 'bucking bronchoscopy', 'baking bronchitis', 'bio']",bodily
"At the same time , global warming is itself a dire legacy , and every energy technology has its pitfalls .",nuclear energy,NONE,nuclear energy,"['global warming', 'energy', 'energy efficiency', 'green it', 'green computing', 'green grid', 'green energy', 'green technology']",energy
"In all countries using nuclear energy there are well established procedures for storing , managing and transporting such wastes , funded from electricity users .",nuclear energy,FAVOR,nuclear energy,"['nuclear energy', 'storage', 'discharge', 'storage system', 'storage management', 'storage and transport']",nuclear energy
They just are not that effective on their own .,nuclear energy,NONE,nuclear energy,"['effective', 'efficiency']",efficiency
"Debate on the applicability of Linear no-threshold model versus Radiation hormesis and other competing models continues , however , the predicted low rate of cancer with low dose means that large sample sizes are required in order to make meaningful conclusions .",nuclear energy,NONE,nuclear energy,"['no-threshold model', 'radiation hormesis', 'cancer', 'laser-no-silicon model', 'laboratory model']",radiation hormesis
 Going beyond the Nuclear Controversy  .,nuclear energy,NONE,nuclear energy,"['nuclear', 'controversy', 'nuclear power', 'nuclear rights', 'nuclear deal', 'nuclear agreement', 'nuclear pact', 'nuclear negotiation', 'nuclear talks', 'nuclear war', 'nuclear conflict', 'nuclear dispute', 'nuclear test', 'nuclear attack', 'nuclear weapon']",nuclear
"Some Soviet designed and built reactors have been a safety concern for many years , but are much better now than in 1986 .",nuclear energy,FAVOR,nuclear energy,"['nuclear reactors', 'nuclear safety']",nuclear reactors
"Renewables receive proportionately large direct production subsidies and tax breaks in many nations , although in absolute terms they are often less than subsidies received by other sources .",nuclear energy,NONE,nuclear energy,"['renewables', 'direct production', 'subsidies', 'tax breaks', 'renewable energy', 'renovation economics']",renewable energy
